PID,query,topic,Specificity Level
PA4,innovative uses of algae,314,1
PA8,What are proved health benefits of marine vegetation diets?,314,2
PA9,What are the health benefits of marine vegetation?,314,1
PA13,What makes the marine vegetation so beneficial for human health? ,314,1
PA26,is eating seaplants healthy,314,1
PA30,where can i buy marine algae in australia,314,2
PA31,is eating seaweed good for health,314,1
PA12,Which city of India connected with fiber optic via ocean,320,2
PA13,How long does it take to complete the construction of the undersea fiber optic cable?,320,1
PA18,what companies are involved in conducting the Undersea Fiber Optic Cable ?,320,1
PA21,Which technique is required in this undersea optical fiber project?,320,1
PA8,Is climate change a heated topic under explorations?,353,1
PA9,What are the current scientific projects in Antarctica?,353,1
PA22,Which type of scientific experiments are conducted in Antarctica?,353,2
PA29,What is antracia exploration?,353,1
PA11,What's being developed in ocean remote sensing and how is it being used?,355,2
PA13,How can the satellites monitor the ocean from above? ,355,2
PA21,Whta has been developed in ocean remote sensing field?,355,1
PA27,How ocean remote sensing works?,355,1
PA29,What are the orcian remote sensing methods?,355,1
PA31,satellite ocean remote sensing applications,355,1
PA4,Transport Ship wrecks due to weather,448,1
PA8,How does a ship loses its navigation function in sea?,448,1
PA11,Is weather the main contributing factor to losing a ship at sea?,448,2
PA12,How to find lost ships,448,1
PA13,How does the bad weathers contribute to the shipping losses?,448,2
PA21,Is there any ship loss instances that were mainly caused by bad weather?,448,2
PA27,How many ships are lost at sea due to bad weather,448,1
PA31,bad weather leading to ship loss at sea,448,1
PA32,ship losses due to weather,448,1
PA2,How to obtain decorative stone,708,1
PA3,What are the manufacturing process of slate stone? What is its decorative use?,708,2
PA6,Slate sources for decoration,708,1
PA8,From which country can we commonly find slate stone?,708,2
PA9,how slate stones are used to create household decorations,708,2
PA11,"What are the sources of slate stone for decorative use, and how is it obtained?",708,2
PA12,What is the price of the stone,708,1
PA13,Where is the main source of the slate stones?,708,2
PA22,I slate stone more expensive than marble?,708,2
PA26,slate stone for decoration,708,1
PA27,Decorative slate stone for a new house,708,1
PA2,The security measures for train station,711,2
PA4,security measures in train stations,711,2
PA6,Train station security procedures,711,2
PA9,What are the safety measures taken at train stations,711,2
PA21,What does the secruity measures include?,711,1
PA27,Is travelling by train safe?,711,1
PA29,What are the methods use to safe train station?,711,1
PA30,what happens if i forgot my myki card,711,1
PA32,train station security,711,1
PA4,Low white blood cell count causes,725,1
PA11,What can cause low white blood cell count?,725,1
PA26,symptoms with low white blood cell count,725,2
PA30,what are the common diseases that reduces white blood cell count,725,2
PA31,low white blood cell count medical condition,725,2
PA32,low white blood cell count,725,1
PA8,What is the most recent policy for shipping industry?,743,1
PA12,Tell me more about this,743,1
PA13,What documents do I need to apply for a registration?,743,1
PA22,How long does it take to obtain registration for a freight ship?,743,2
PA29,How long it take to frieter ship registration,743,2
PA31,registering freight ship rules regulations,743,1
PA6,Three Gorges Dam Yangze River cruise,416,1
PA8,At what stage do we expect the Three Georges Dam project to be in? ,416,1
PA9,What is the current status of the Three Gorges Dam project?,416,2
PA18,why it is needed to explore The Three Gorges Dam Project?,416,1
PA22,How long did it take to build the Three Gorges Dam?,416,2
PA27,Current status of The Three Gorges Dam,416,1
PA30,what is three gorges dam project,416,1
PA26,can you recycle car tires,419,1
PA29,What are the risk to used recycled tires ?,419,2
PA30,what can we make with recycled tyres,419,1
PA3,What are the Greek stoics? What is its historic significance?,433,2
PA9,What are the recent Greek plays?,433,1
PA11,Whether does Greek stoic play and artistic productions are taking place or being planned?,433,2
PA12,Who are greeks,433,1
PA18,Is there any artistic productions or projects related with Greek philosophy of Sotoism been doing? ,433,2
PA22,Who is the founder of Stoicism?,433,2
PA26,greek plays,433,1
PA27,Current events related to Greek philosophy,433,2
PA29,Provide more info about greek philosophy,433,1
PA30,event dates for greek stoic plays,433,1
PA32,stoic plays theatre,433,1
